Audio compression format;ACM;DirectShow;QuickTime;GStreamer;FFmpeg;Media Foundation
8SVX;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
AAC;Yes;Yes (ffdshow, Monogram[47]);Yes;Yes (GStreamer FFmpeg plug-in);Yes;Yes
AC3;Yes;Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes
ALS;?;?;?;?;?;?
AMR;No;No;Yes [48] [49];Yes (GStreamer Ugly Plug-ins);Yes;Yes
ALAC;Yes;Yes (ffdshow);Yes;Yes (GStreamer FFmpeg plug-in);Yes;Yes
aptX;?;?;?;?;Yes;?
ATRAC3;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
ATRAC3plus;No;No;No;No;Yes;Yes (ffdshow)
CELT;?;?;?;?;?;?
Cook Codec;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
DCA aka DTS;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
DTS-HD;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
E-AC-3;Yes;Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes
FLAC;yes;Yes (ffdshow);Yes (Perian);Yes (GStreamer Base Plug-ins, GStreamer FFmpeg plug-in);Yes;Yes
HE-AAC;?;?;?;?;?;?
Monkey's Audio;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
WavPack;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
Shorten;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
Sonic Audio;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
MP3;Yes;Yes;Yes;Yes (GStreamer Ugly, GStreamer FFmpeg plug-in);Yes;Yes
RealAudio;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in, GStreamer DLL loader plugin + Binary Codec Packages);Yes;Yes (ffdshow)
Speex;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStramer Good Plug-ins, GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
Vorbis;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer Base Plug-ins, GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
La ???;No;No;No;No;No;Yes (ffdshow)
LPAC;No;No;No;No;No;Yes (ffdshow)
Windows Media Audio v1;Yes;Yes;Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes
Windows Media Audio v2;Yes;Yes;Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes
Windows Media Audio Pro;Yes;Yes;Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes
Windows Media Audio Lossless;Yes;Yes;Yes (flip4mac);Yes (GStreamer FFmpeg plug-in);Yes;Yes
Windows Media Audio Voice;Yes;Yes;No;No;Yes;Yes
Musepack;Yes (ffdshow);Yes (ffdshow, Monogram[47]);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
Meridian Lossless Packing;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
Nellymoser Asao Codec in Flash;Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
OptimFROG;No;No;No;No;No;Yes (ffdshow)
Truespeech;Yes;Yes;Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
True Audio (TTA);Yes (ffdshow);Yes (ffdshow);Yes (Perian);Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
QCELP;Yes (ffdshow);Yes (ffdshow);Yes;Yes (GStreamer FFmpeg plug-in);Yes;Yes (ffdshow)
Audio compression format;ACM;DirectShow;QuickTime;GStreamer;FFmpeg;Media Foundation
