;;Trident;Tasman;Gecko;WebKit;KHTML;Presto
Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException
code;DOM1;5.0[t 1];?;1.0;?;?;1.0
Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList
length;DOM3;6.0[t 2];No;1.6;No;?;2.0
contains();DOM3;6.0[t 2];No;1.6;No;?;2.0
item();DOM3;6.0[t 2];No;1.6;No;?;2.0
Interface NameList;Interface NameList;Interface NameList;Interface NameList;Interface NameList;Interface NameList;Interface NameList;Interface NameList
length;DOM3;No;No;1.6;No;No;No
getName();DOM3;No;No;1.6;No;No;No
getNamespaceURI();DOM3;No;No;1.6;No;No;No
contains();DOM3;No;No;1.6;No;No;No
containsNS();DOM3;No;No;1.6;No;No;No
Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList
length;DOM3;No;No;No;No;No;No
item();DOM3;No;No;No;No;No;No
Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource
getDOMImplementation();DOM3;No;No;No;No;No;No
getDOMImplementationList();DOM3;No;No;No;No;No;No
Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation
hasFeature();DOM1;6.0;?;1.0;Yes;?;1.0
createDocumentType();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
createDocument();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
getFeature();DOM3;No;No;No;No;?;1.0
Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment;Interface DocumentFragment
(no properties);DOM1;6.0;No;1.0;?;?;1.0
Interface Document;Interface Document;Interface Document;Interface Document;Interface Document;Interface Document;Interface Document;Interface Document
doctype;DOM1;9.0;Yes;Partial;Yes;?;1.0
createElement();DOM1;4.0;Yes;1.0;Yes;?;1.0
createTextNode();DOM1;5.0;Yes;1.0;Yes;?;1.0
createAttribute();DOM1;6.0;Yes;1.0;Yes;?;1.0
documentElement;DOM1;5.0;Yes;1.0;Yes;?;1.0
getElementsByTagName();DOM1;5.0;Yes;1.0;Yes;?;1.0
implementation;DOM1;6.0;Yes;1.0;Yes;?;1.0
createDocumentFragment();DOM1;6.0;No;1.0;Yes;?;1.0
createComment();DOM1;6.0;No;1.0;Yes;?;1.0
createCDATASection();DOM1;9.0[t 3];No;1.0;Yes;?;1.0
createProcessingInstruction();DOM1;9.0[t 3];?;1.7;Yes;?;1.0
createEntityReference();DOM1;No;?;No [1];Yes;?;No
importNode();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
createElementNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
createAttributeNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
getElementsByTagNameNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
getElementById();DOM2;8.0;Yes;1.0;Yes;?;2.1
adoptNode();DOM3;9.0[t 3];No;1.7;Yes;?;2.0
inputEncoding;DOM3;9.0[t 3];No;1.7;No;?;No
xmlEncoding;DOM3;9.0[t 3];No;1.7;No;?;No
xmlStandalone;DOM3;9.0[t 3];No;1.7;No;?;No
xmlVersion;DOM3;9.0[t 3];No;1.7;No;?;No
domConfig;DOM3;No;No;No;No;?;No
strictErrorChecking;DOM3;No;No;1.7;No;?;No
documentURI;DOM3;No;No;1.7;No;?;No
normalizeDocument();DOM3;No;No;1.7;No;?;No
renameNode();DOM3;No;No;1.7;No;?;No
Interface Node;Interface Node;Interface Node;Interface Node;Interface Node;Interface Node;Interface Node;Interface Node
nodeName;DOM1;5.0;Yes;1.0;Yes;?;1.0
nodeValue;DOM1;5.0;Yes;1.0;Yes;?;1.0
nodeType;DOM1;5.0;Yes;1.0;Yes;?;1.0
parentNode;DOM1;5.0;Yes;1.0;Yes;?;1.0
childNodes;DOM1;5.0;Yes;1.0;Yes;?;1.0
firstChild;DOM1;5.0;Yes;1.0;Yes;?;1.0
lastChild;DOM1;5.0;Yes;1.0;Yes;?;1.0
previousSibling;DOM1;5.0;Yes;1.0;Yes;?;1.0
nextSibling;DOM1;5.0;Yes;1.0;Yes;?;1.0
attributes;DOM1;5.0;Yes;1.0;Yes;?;1.0
cloneNode();DOM1;5.0;Yes;1.0;Yes;?;1.0
insertBefore();DOM1;5.0;Yes;Partial;Yes;?;1.0
replaceChild();DOM1;5.0;Yes;Partial;Yes;?;1.0
removeChild();DOM1;5.0;Yes;Partial;Yes;?;1.0
appendChild();DOM1;5.0;Yes;Partial;Yes;?;1.0
ownerDocument;DOM1;6.0;Yes;1.9;Yes;?;1.0
hasChildNodes();DOM1;6.0;Yes;1.0;Yes;?;1.0
namespaceURI;DOM2;5.0;Yes;1.0;Yes;?;1.0
prefix;DOM2;5.0;Yes;1.0;Yes;?;1.0
localName;DOM2;5.0;Yes;1.0;Yes;?;1.0
isSupported();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
hasAttributes();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
isSameNode();DOM3;9.0;No;1.8;Yes;?;2.1
compareDocumentPosition();DOM3;9.0[t 3];No;1.7;Yes;4.2.4;2.1
baseURI;DOM3;No;No;1.7;Yes;?;Yes
textContent;DOM3;9.0[t 3];No;1.7;Yes;?;2.0
lookupPrefix();DOM3;9.0[t 3];No;1.7;Yes;?;2.0
isDefaultNamespace();DOM3;9.0[t 3];No;1.7;Yes;?;2.0
lookupNamespaceURI();DOM3;9.0[t 3];No;1.7;Yes;?;2.0
getFeature();DOM3;No;No;1.7;Yes;?;2.0
setUserData();DOM3;No;No;1.7;Yes;?;No
getUserData();DOM3;No;No;1.7;Yes;?;No
isEqualNode();DOM3;9.0[t 3];No;1.9;Yes;?;2.7
Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList;Interface NodeList
length;DOM1;5.0;Yes;1.0;Yes;?;1.0
item();DOM1;5.0;Yes;1.0;Yes;?;1.0
Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap;Interface NamedNodeMap
length;DOM1;5.0;Yes;1.0;Yes;?;1.0
getNamedItem();DOM1;5.0;Yes;1.0;Yes;?;1.0
setNamedItem();DOM1;5.0;Yes;1.0;Yes;?;1.0
removeNamedItem();DOM1;5.0;Yes;1.0;Yes;?;1.0
item();DOM1;5.0;Yes;1.0;Yes;?;1.0
getNamedItemNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
setNamedItemNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
removeNamedItemNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData;Interface CharacterData
data;DOM1;4.0;Yes;1.0;Yes;?;1.0
length;DOM1;4.0;Yes;1.0;Yes;?;1.0
substringData();DOM1;4.0;Yes;1.0;Yes;?;1.0
appendData();DOM1;4.0;Yes;1.0;Yes;?;1.0
insertData();DOM1;4.0;Yes;1.0;Yes;?;1.0
deleteData();DOM1;4.0;Yes;1.0;Yes;?;1.0
replaceData();DOM1;4.0;Yes;1.0;Yes;?;1.0
Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr;Interface Attr
name;DOM1;6.0;?;1.0;Yes;Yes;1.0
value;DOM1;6.0;?;1.0;Yes;Yes;1.0
specified;DOM1;Incorrect;Incorrect;1.9.1;Yes;Yes;1.0
ownerElement;DOM2;9.0[t 3];?;1.0;Yes;Yes;1.0
schemaTypeInfo;DOM3;No;No;No;No;?;No
isId;DOM3;No;No;1.9;No;No;No
Interface Element;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element;Interface Element
tagName;DOM1;4.0;Yes;1.0;Yes;Yes;1.0
getElementsByTagName();DOM1;4.0;Yes;1.0;Yes;Yes;1.0
getAttribute();DOM1;8.0;Yes;1.0;Yes;Yes;1.0
setAttribute();DOM1;8.0;Yes;1.0;Yes;Yes;1.0
removeAttribute();DOM1;8.0;Yes;1.0;Yes;Yes;1.0
getAttributeNode();DOM1;6.0;Yes;1.0;Yes;Yes;1.0
setAttributeNode();DOM1;9.0[t 3];Yes;1.0;Yes;Yes;1.0
removeAttributeNode();DOM1;9.0[t 3];Yes;1.0;Yes;Yes;1.0
normalize();DOM1;9.0[t 3];Yes;1.0;No;?;1.0
getAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
setAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
removeAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
getAttributeNodeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
setAttributeNodeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
getElementsByTagNameNS();DOM2;9.0[t 3];No;1.0;Yes;?;1.0
hasAttribute();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
hasAttributeNS();DOM2;9.0[t 3];Yes;1.0;Yes;?;1.0
schemaTypeInfo;DOM3;No;No;No;No;?;No
setIdAttribute();DOM3;No;No;No;No;?;No
setIdAttributeNS();DOM3;No;No;No;No;?;No
setIdAttributeNode();DOM3;No;No;No;No;?;No
Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text;Interface Text
splitText();DOM1;9.0[t 3];Yes;1.0;Yes;?;1.0
isElementContentWhitespace;DOM3;No;No;1.9.1;No;?;Yes
wholeText;DOM3;9.0[t 3];No;1.9.1;No;?;2.1
replaceWholeText();DOM3;9.0[t 3];No;1.9.1;No;?;2.1
Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment;Interface Comment
(no properties);DOM1;6.0;No;1.0;Yes;?;1.0
Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo;Interface TypeInfo
typeName;DOM3;No;No;No;No;No;No
typeNamespace;DOM3;No;No;No;No;No;No
isDerivedFrom();DOM3;No;No;No;No;No;No
Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler;Interface UserDataHandler
handle();DOM3;No;No;No;No;No;No
Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError;Interface DOMError
severity;DOM3;No;No;No;No;No;2.0
message;DOM3;No;No;No;No;No;2.0
type;DOM3;No;No;No;No;No;2.0
location;DOM3;No;No;No;No;No;2.0
relatedData;DOM3;No;No;No;No;No;2.0
relatedException;DOM3;No;No;No;No;No;No
Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler;Interface DOMErrorHandler
handleError();DOM3;No;No;No;No;No;2.0
Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator;Interface DOMLocator
lineNumber;DOM3;No;No;No;No;No;2.0
columnNumber;DOM3;No;No;No;No;No;2.0
byteOffset;DOM3;No;No;No;No;No;2.0
utf16Offset;DOM3;No;No;No;No;No;2.0
relatedNode;DOM3;No;No;No;No;No;2.0
uri;DOM3;No;No;No;No;No;2.0
Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration;Interface DOMConfiguration
parameterNames;DOM3;No;No;No;No;?;2.0
setParameter();DOM3;No;No;No;No;?;2.0
getParameter();DOM3;No;No;No;No;?;2.0
canSetParameter();DOM3;No;No;No;No;?;2.0
